ad_id,total_area,ceiling_height,room_count,room_isolate,room_adjacent,room_both_variant,metro_time_minutes,transport_walk,transport_car,metro_station_encoded,flat,flat_all,type_bilding,parking_num,price_rent,deposit,prepayment_cnt_mon,commun_incl,renovation_num,balcony_count,loggia_count,windows_view_num,union_bath_num,split_bath_num,pass_elev,gruz_elev,garbage_chute_num,with_children,with_pets,dishwasher,bathtub,refrigerator,phone,kitchen_furniture,furniture_in_rooms,internet,washing_machine,air_conditioner,tv,shower_cabin,street_house_encoded,price_log,price_log_scaled
265395292,64.0,2.64,3,1,0,0,15,1,0,192,1,9,0,0,55000.0,1.0,1.0,1.0,2,1,0,3,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1620,10.915106645867503,-0.1563565142241507
274943332,65.0,2.7,2,0,0,0,16,1,0,254,8,15,3,0,60000.0,1.0,1.0,1.0,0,0,0,2,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,464,11.002116507732017,-0.031049825149279817
273692412,72.0,2.7,3,0,0,0,7,1,0,19,24,25,3,0,60000.0,1.0,1.0,1.0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,585,11.002116507732017,-0.031049825149279817
271038471,38.0,2.975,2,0,0,0,1,1,0,254,20,34,2,4,60000.0,1.0,1.0,1.0,4,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1300,11.002116507732017,-0.031049825149279817
267378679,60.0,2.7,3,0,0,0,8,0,1,254,1,9,3,2,60000.0,1.0,1.0,0.0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,520,11.002116507732017,-0.031049825149279817
274925341,30.0,3.0,1,0,0,0,7,1,0,254,9,33,2,4,60000.0,1.0,0.0,0.0,3,0,0,2,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1300,11.002116507732017,-0.031049825149279817
274734487,60.0,2.7,2,1,0,0,10,1,0,254,15,17,0,0,60000.0,1.0,1.0,1.0,3,1,1,3,0,1,1,0,2,1,1,0,0,1,0,1,1,0,1,0,0,0,1300,11.002116507732017,-0.031049825149279817
274523955,88.0,2.7,3,1,0,0,7,1,0,19,18,19,0,2,63000.0,1.0,1.0,1.0,2,0,1,3,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,585,11.050905878263567,0.03921387085422952
272584171,35.0,2.9,1,0,0,0,7,1,0,19,4,31,3,4,65000.0,1.0,0.0,1.0,3,1,0,2,1,0,1,1,2,0,0,1,0,1,0,1,1,0,1,1,1,1,244,11.082157933374816,0.08422131562955745
274900186,37.5,2.975,1,0,0,0,2,1,0,254,15,30,2,4,65000.0,1.0,1.0,1.0,4,0,0,2,1,0,1,1,2,0,0,1,0,1,0,1,1,0,1,1,1,1,1300,11.082157933374816,0.08422131562955745
